,Date,Time,Open,High,Low,Close,Volume
0,2020-04-13,01:51:00,152.98,153.01,152.86,152.91,208.95387
1,2020-04-13,01:52:00,152.95,153.12,152.89,153.03,512.04956
2,2020-04-13,01:53:00,153.04,153.12,152.94,153.08,327.66464
3,2020-04-13,01:54:00,153.04,153.09,152.85,152.89,285.13515
4,2020-04-13,01:55:00,152.89,153.21,152.83,153.16,954.40973
5,2020-04-13,01:56:00,153.17,153.4,153.15,153.15,1535.69456
6,2020-04-13,01:57:00,153.16,153.23,153.0,153.0,219.99653
7,2020-04-13,01:58:00,153.0,153.2,152.95,153.16,373.23223
8,2020-04-13,01:59:00,153.16,153.62,153.12,153.51,1216.54493
9,2020-04-13,02:00:00,153.5,153.5,153.06,153.25,572.11514
10,2020-04-13,02:01:00,153.23,153.26,152.98,153.08,781.08976
11,2020-04-13,02:02:00,153.08,153.09,152.76,152.76,873.96677
12,2020-04-13,02:03:00,152.78,152.85,152.56,152.63,754.25692
13,2020-04-13,02:04:00,152.62,152.78,152.57,152.6,666.1953
14,2020-04-13,02:05:00,152.59,152.81,152.56,152.68,466.18342
15,2020-04-13,02:06:00,152.69,152.79,152.59,152.74,678.87682
16,2020-04-13,02:07:00,152.77,152.79,152.61,152.65,324.42313
17,2020-04-13,02:08:00,152.65,152.72,152.58,152.59,244.0967
18,2020-04-13,02:09:00,152.58,152.65,152.5,152.55,516.49088
19,2020-04-13,02:10:00,152.54,152.62,152.34,152.49,1180.43245
20,2020-04-13,02:11:00,152.49,152.71,152.43,152.71,417.20344
21,2020-04-13,02:12:00,152.71,153.25,152.64,153.14,1226.80362
22,2020-04-13,02:13:00,153.18,153.38,153.13,153.22,647.89601
23,2020-04-13,02:14:00,153.22,153.49,153.22,153.45,836.62315
24,2020-04-13,02:15:00,153.38,153.43,153.03,153.09,384.9412
25,2020-04-13,02:16:00,153.09,153.31,153.03,153.26,477.48144
26,2020-04-13,02:17:00,153.27,153.31,153.05,153.11,702.7514
27,2020-04-13,02:18:00,153.08,153.38,153.05,153.2,476.29831
